Date,Country,User Name,Score,Title,Review Text,Version,Helpful Count
"2025-07-21T17:54:00-07:00","us","eggfatlatte","3","App worked fine until the last release update","There is much to be desired for the app but the last update made the app unusable. After each session the mendi icon shows up and gets stuck there. Only way to get pass this screen is to close the app and restart it. I see other people are experiencing the same behavior. Seems like this got passed QA somehow. Not terribly impressed with the app. Please fix this ASAP or I’ll have to move on to alternatives.","3.1.9",""
"2025-07-18T11:25:43-07:00","us","Sherwani2020","4","Glitch in the app","This might be a mistake from my end as I am new to mendi and still don’t know how exactly it works, but every time when my session ends the mandi logo stays on the screen (more than a minute based on my experience) and in order to go back to the main page, I have to close the app and re-open.
Please fix this as it might affect it’s functionality.","3.1.9",""
"2025-07-17T06:03:41-07:00","at","Johann Bieler","3","Nice app but many crashes","Frequently crashes right before the end of the session. Please fix this urgently","3.1.9",""
"2025-07-13T05:07:44-07:00","nl","Ștefan Steve","5","Suggestion : )","I’d be really happy if I could buy new audio, background visuals, skins, and other types of content — and I’d also love to have a new kind of attention game.    
The update is great . Thank you !  : )","3.1.9",""
"2025-07-09T17:36:49-07:00","us","Dr.d man","4","Improving","After several months I have noticed that I am much less reactive.  I wish there were more tools to understand/interpret scores.  Maybe a graph.","3.1.6",""
"2025-07-07T16:27:07-07:00","us","Wild Moonflower","1","Not pleased","I was a very dedicated user- just shy of 600 days in a row and the app changed a bunch of features, the device stopped working, and many glitches. While the history of my sessions saved, the daily number did not so 600 sessions became zero overnight.","3.1.6",""
"2025-07-07T08:55:32-07:00","gb","Huggis","3","Needs iPad Support","Whilst I like using my Mendi I would much prefer to be sat at a table using an iPad rather than having to hold my iPhone. Hopefully this can happen soon.","3.1.6",""
"2025-07-03T23:15:59-07:00","pl","MateuszXYZ","1","Buggy for weeks now","The app with an update several weeks ago introduced few bugs. For instance the session summary screen does not load - hangs on the spinner. Please fix otherwise good app.","3.1.6",""
"2025-06-30T03:32:53-07:00","gb","Mrs Spanner","3","Great when it works","Since the latest update the app freezes at the end of training, which makes me have to force close it. This means my session doesn’t get registered, which is annoying.  I keep having to delete and reinstall the app.  Also, could we have the “how are you feeling today?” emotions in alphabetical order? Thanks.","3.1.6",""
"2025-06-27T23:29:17-07:00","us","Ghhjkfcxdg","4","Multiple bugs but functional game","Mendi is very promising. The game works well. However many bugs - the Mendi icon spins eternally after finishing a training session and no longer writes to mindful minutes on iOS despite permissions being enabled.

Other areas like after a breathing session the text “breathing animation. well done” exposed instead of an animation

While the training session is good I’d really like new experiences that leverages the headset.","3.1.5",""
"2025-06-23T10:40:04-07:00","us","BoyWithUke Official","5","rlly good and it helped me a lot","im being ded serious","2.2.3",""
"2025-06-16T09:46:44-07:00","us","AscendTM02","5","This is the product of you need help with focus","Easy to use. Just use it everyday. Amazing.","3.1.2",""
"2025-06-12T09:27:18-07:00","us","LMR D","5","Happy","The Mendi adds to a healthy morning routine and as the days go on I appreciate the fact that I rate the way I feel and give a brief description about my moods. The training is making more sense each time.","3.1.2",""
"2025-06-10T06:47:29-07:00","us","uelemd svsh","5","Mendi Review","I’m convinced this is one of the best devices on the market. Giving my 2 cents.","3.1.2",""
"2025-06-08T18:17:25-07:00","us","P.J. Smith","5","Life changing","Could this be the device I’ve been waiting for my entire life to help me with ADD? After 2 1/2 -3 weeks, I’ve seen phenomenal progress. It almost feels like my brain is starting to operate the way God created it instead of under the influence of the inability to focus, stay engaged with tasks, and finish assignments. At this point, I would give it six stars if possible.","3.1.1",""
"2025-06-04T08:13:09-07:00","us","Wiredwelder","5","Helped my sleep a ton and anxiety is low","I can’t say enough good things about it. My anxiety is lower. I’m sleeping better. I’m healing better and I’m happier. I’m not having near the manic depression cycle. Highly recommend.!😁","3.1.1",""
